"Laikotarpis","Rodiklis","Europos individualaus vartojimo išlaidų pagal paskirtį klasifikatorius (ECOICOP)","Matavimo vienetai","Reikšmė"
"2016M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","104,53"
"2016M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,31"
"2016M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","104,64"
"2016M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","101,13"
"2016M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","103,93"
"2016M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","101,14"
"2016M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","103,89"
"2016M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","101,13"
"2016M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","103,51"
"2016M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,41"
"2016M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","102,83"
"2016M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","99,35"
"2016M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","100,42"
"2016M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","99,62"
"2016M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","101,01"
"2015M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","99,98"
"2015M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","99,62"
"2015M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,35"
"2015M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","100,63"
"2015M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,50"
"2015M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","100,51"
"2015M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,01"
"2015M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","100,01"
"2015M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","99,40"
"2015M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","100,24"
"2015M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,27"
"2015M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","99,62"
