"code";"en_long_title";"lt_long_title";"date";"value";"power"
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2008-Q3";4155917;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2008-Q4";4235858;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2009-Q1";4291857;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2009-Q2";4322979;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2009-Q3";4319561;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2009-Q4";4295962;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2010-Q1";4301187;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2010-Q2";4277966;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2010-Q3";4335194;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2010-Q4";4270335;1
