"Laikotarpis","Rodiklis","Mokesčiai","Mokėtojai","Matavimo vienetai","Reikšmė"
"2012","Įmonių ir gyventojų sumokėti mokesčiai","Akcizai","Gyventojai","tūkst. EUR",
"2011","Įmonių ir gyventojų sumokėti mokesčiai","Gyventojų pajamų mokestis","Įmonės","tūkst. EUR",
"2011","Įmonių ir gyventojų sumokėti mokesčiai","Pelno mokestis","Įmonės","tūkst. EUR","252871"
"2011","Įmonių ir gyventojų sumokėti mokesčiai","Pridėtinės vertės mokestis","Įmonės","tūkst. EUR","2462495"
"2011","Įmonių ir gyventojų sumokėti mokesčiai","Akcizai","Įmonės","tūkst. EUR","920480"
"2011","Įmonių ir gyventojų sumokėti mokesčiai","Gyventojų pajamų mokestis","Gyventojai","tūkst. EUR","1092690"
"2011","Įmonių ir gyventojų sumokėti mokesčiai","Pelno mokestis","Gyventojai","tūkst. EUR",
"2011","Įmonių ir gyventojų sumokėti mokesčiai","Pridėtinės vertės mokestis","Gyventojai","tūkst. EUR",
"2011","Įmonių ir gyventojų sumokėti mokesčiai","Akcizai","Gyventojai","tūkst. EUR",
"2010","Įmonių ir gyventojų sumokėti mokesčiai","Gyventojų pajamų mokestis","Įmonės","tūkst. EUR",
"2010","Įmonių ir gyventojų sumokėti mokesčiai","Pelno mokestis","Įmonės","tūkst. EUR","276260"
"2010","Įmonių ir gyventojų sumokėti mokesčiai","Pridėtinės vertės mokestis","Įmonės","tūkst. EUR","2112492"
"2010","Įmonių ir gyventojų sumokėti mokesčiai","Akcizai","Įmonės","tūkst. EUR","879429"
"2010","Įmonių ir gyventojų sumokėti mokesčiai","Gyventojų pajamų mokestis","Gyventojai","tūkst. EUR","1004967"
"2010","Įmonių ir gyventojų sumokėti mokesčiai","Pelno mokestis","Gyventojai","tūkst. EUR",
"2010","Įmonių ir gyventojų sumokėti mokesčiai","Pridėtinės vertės mokestis","Gyventojai","tūkst. EUR",
"2010","Įmonių ir gyventojų sumokėti mokesčiai","Akcizai","Gyventojai","tūkst. EUR",
"2009","Įmonių ir gyventojų sumokėti mokesčiai","Gyventojų pajamų mokestis","Įmonės","tūkst. EUR",
"2009","Įmonių ir gyventojų sumokėti mokesčiai","Pelno mokestis","Įmonės","tūkst. EUR","494553"
"2009","Įmonių ir gyventojų sumokėti mokesčiai","Pridėtinės vertės mokestis","Įmonės","tūkst. EUR","1969075"
"2009","Įmonių ir gyventojų sumokėti mokesčiai","Akcizai","Įmonės","tūkst. EUR","943629"
"2009","Įmonių ir gyventojų sumokėti mokesčiai","Gyventojų pajamų mokestis","Gyventojai","tūkst. EUR","1097094"
"2009","Įmonių ir gyventojų sumokėti mokesčiai","Pelno mokestis","Gyventojai","tūkst. EUR",
"2009","Įmonių ir gyventojų sumokėti mokesčiai","Pridėtinės vertės mokestis","Gyventojai","tūkst. EUR",
"2009","Įmonių ir gyventojų sumokėti mokesčiai","Akcizai","Gyventojai","tūkst. EUR",
"2008","Įmonių ir gyventojų sumokėti mokesčiai","Gyventojų pajamų mokestis","Įmonės","tūkst. EUR",
"2008","Įmonių ir gyventojų sumokėti mokesčiai","Pelno mokestis","Įmonės","tūkst. EUR","842845"
"2008","Įmonių ir gyventojų sumokėti mokesčiai","Pridėtinės vertės mokestis","Įmonės","tūkst. EUR","2676801"
"2008","Įmonių ir gyventojų sumokėti mokesčiai","Akcizai","Įmonės","tūkst. EUR","971401"
"2008","Įmonių ir gyventojų sumokėti mokesčiai","Gyventojų pajamų mokestis","Gyventojai","tūkst. EUR","2118067"
"2008","Įmonių ir gyventojų sumokėti mokesčiai","Pelno mokestis","Gyventojai","tūkst. EUR",
"2008","Įmonių ir gyventojų sumokėti mokesčiai","Pridėtinės vertės mokestis","Gyventojai","tūkst. EUR",
"2008","Įmonių ir gyventojų sumokėti mokesčiai","Akcizai","Gyventojai","tūkst. EUR",
"2007","Įmonių ir gyventojų sumokėti mokesčiai","Gyventojų pajamų mokestis","Įmonės","tūkst. EUR",
"2007","Įmonių ir gyventojų sumokėti mokesčiai","Pelno mokestis","Įmonės","tūkst. EUR","594778"
"2007","Įmonių ir gyventojų sumokėti mokesčiai","Pridėtinės vertės mokestis","Įmonės","tūkst. EUR","2266038"
"2007","Įmonių ir gyventojų sumokėti mokesčiai","Akcizai","Įmonės","tūkst. EUR","811977"
"2007","Įmonių ir gyventojų sumokėti mokesčiai","Gyventojų pajamų mokestis","Gyventojai","tūkst. EUR","1890651"
"2007","Įmonių ir gyventojų sumokėti mokesčiai","Pelno mokestis","Gyventojai","tūkst. EUR",
"2007","Įmonių ir gyventojų sumokėti mokesčiai","Pridėtinės vertės mokestis","Gyventojai","tūkst. EUR",
"2007","Įmonių ir gyventojų sumokėti mokesčiai","Akcizai","Gyventojai","tūkst. EUR",
