"Laikotarpis","Rodiklis","Matavimo vienetai","Reikšmė"
"2009M12","Mėnesinis emigrantų skaičius","asmenys","3473"
"2009M11","Mėnesinis emigrantų skaičius","asmenys","3038"
"2009M10","Mėnesinis emigrantų skaičius","asmenys","3500"
"2009M09","Mėnesinis emigrantų skaičius","asmenys","3889"
"2009M08","Mėnesinis emigrantų skaičius","asmenys","4508"
"2009M07","Mėnesinis emigrantų skaičius","asmenys","3245"
"2009M06","Mėnesinis emigrantų skaičius","asmenys","2718"
"2009M05","Mėnesinis emigrantų skaičius","asmenys","2649"
"2009M04","Mėnesinis emigrantų skaičius","asmenys","2891"
"2009M03","Mėnesinis emigrantų skaičius","asmenys","3480"
"2009M02","Mėnesinis emigrantų skaičius","asmenys","2491"
"2009M01","Mėnesinis emigrantų skaičius","asmenys","2618"
"2008M12","Mėnesinis emigrantų skaičius","asmenys","2444"
"2008M11","Mėnesinis emigrantų skaičius","asmenys","2035"
"2008M10","Mėnesinis emigrantų skaičius","asmenys","2390"
"2008M09","Mėnesinis emigrantų skaičius","asmenys","2457"
"2008M08","Mėnesinis emigrantų skaičius","asmenys","3070"
"2008M07","Mėnesinis emigrantų skaičius","asmenys","2429"
"2008M06","Mėnesinis emigrantų skaičius","asmenys","1934"
"2008M05","Mėnesinis emigrantų skaičius","asmenys","1713"
"2008M04","Mėnesinis emigrantų skaičius","asmenys","2117"
"2008M03","Mėnesinis emigrantų skaičius","asmenys","1715"
"2008M02","Mėnesinis emigrantų skaičius","asmenys","1695"
"2008M01","Mėnesinis emigrantų skaičius","asmenys","1751"
"2007M12","Mėnesinis emigrantų skaičius","asmenys","2108"
"2007M11","Mėnesinis emigrantų skaičius","asmenys","2002"
"2007M10","Mėnesinis emigrantų skaičius","asmenys","2439"
"2007M09","Mėnesinis emigrantų skaičius","asmenys","3041"
"2007M08","Mėnesinis emigrantų skaičius","asmenys","3545"
"2007M07","Mėnesinis emigrantų skaičius","asmenys","2871"
"2007M06","Mėnesinis emigrantų skaičius","asmenys","2734"
"2007M05","Mėnesinis emigrantų skaičius","asmenys","2689"
"2007M04","Mėnesinis emigrantų skaičius","asmenys","2351"
"2007M03","Mėnesinis emigrantų skaičius","asmenys","2348"
"2007M02","Mėnesinis emigrantų skaičius","asmenys","1968"
"2007M01","Mėnesinis emigrantų skaičius","asmenys","2287"
"2006M12","Mėnesinis emigrantų skaičius","asmenys","2620"
"2006M11","Mėnesinis emigrantų skaičius","asmenys","2682"
"2006M10","Mėnesinis emigrantų skaičius","asmenys","2730"
"2006M09","Mėnesinis emigrantų skaičius","asmenys","2779"
"2006M08","Mėnesinis emigrantų skaičius","asmenys","3657"
"2006M07","Mėnesinis emigrantų skaičius","asmenys","3200"
"2006M06","Mėnesinis emigrantų skaičius","asmenys","2993"
"2006M05","Mėnesinis emigrantų skaičius","asmenys","2773"
"2006M04","Mėnesinis emigrantų skaičius","asmenys","2135"
"2006M03","Mėnesinis emigrantų skaičius","asmenys","2458"
"2006M02","Mėnesinis emigrantų skaičius","asmenys","2235"
"2006M01","Mėnesinis emigrantų skaičius","asmenys","2128"
"2005M12","Mėnesinis emigrantų skaičius","asmenys","3746"
"2005M11","Mėnesinis emigrantų skaičius","asmenys","3277"
"2005M10","Mėnesinis emigrantų skaičius","asmenys","4023"
"2005M09","Mėnesinis emigrantų skaičius","asmenys","4950"
"2005M08","Mėnesinis emigrantų skaičius","asmenys","6964"
"2005M07","Mėnesinis emigrantų skaičius","asmenys","5708"
"2005M06","Mėnesinis emigrantų skaičius","asmenys","5552"
"2005M05","Mėnesinis emigrantų skaičius","asmenys","5106"
"2005M04","Mėnesinis emigrantų skaičius","asmenys","4718"
"2005M03","Mėnesinis emigrantų skaičius","asmenys","4579"
"2005M02","Mėnesinis emigrantų skaičius","asmenys","4382"
"2005M01","Mėnesinis emigrantų skaičius","asmenys","4880"
"2004M12","Mėnesinis emigrantų skaičius","asmenys","3449"
"2004M11","Mėnesinis emigrantų skaičius","asmenys","3121"
"2004M10","Mėnesinis emigrantų skaičius","asmenys","3385"
"2004M09","Mėnesinis emigrantų skaičius","asmenys","3565"
"2004M08","Mėnesinis emigrantų skaičius","asmenys","4236"
"2004M07","Mėnesinis emigrantų skaičius","asmenys","3799"
"2004M06","Mėnesinis emigrantų skaičius","asmenys","3731"
"2004M05","Mėnesinis emigrantų skaičius","asmenys","2458"
"2004M04","Mėnesinis emigrantų skaičius","asmenys","2431"
"2004M03","Mėnesinis emigrantų skaičius","asmenys","2827"
"2004M02","Mėnesinis emigrantų skaičius","asmenys","2262"
"2004M01","Mėnesinis emigrantų skaičius","asmenys","2427"
"2003M12","Mėnesinis emigrantų skaičius","asmenys","2076"
"2003M11","Mėnesinis emigrantų skaičius","asmenys","2153"
"2003M10","Mėnesinis emigrantų skaičius","asmenys","2741"
"2003M09","Mėnesinis emigrantų skaičius","asmenys","2875"
"2003M08","Mėnesinis emigrantų skaičius","asmenys","2907"
"2003M07","Mėnesinis emigrantų skaičius","asmenys","2994"
"2003M06","Mėnesinis emigrantų skaičius","asmenys","2389"
"2003M05","Mėnesinis emigrantų skaičius","asmenys","2741"
"2003M04","Mėnesinis emigrantų skaičius","asmenys","1727"
"2003M03","Mėnesinis emigrantų skaičius","asmenys","1488"
"2003M02","Mėnesinis emigrantų skaičius","asmenys","1217"
"2003M01","Mėnesinis emigrantų skaičius","asmenys","975"
"2002M12","Mėnesinis emigrantų skaičius","asmenys","1794"
"2002M11","Mėnesinis emigrantų skaičius","asmenys","1189"
"2002M10","Mėnesinis emigrantų skaičius","asmenys","1434"
"2002M09","Mėnesinis emigrantų skaičius","asmenys","1366"
"2002M08","Mėnesinis emigrantų skaičius","asmenys","1812"
"2002M07","Mėnesinis emigrantų skaičius","asmenys","1550"
"2002M06","Mėnesinis emigrantų skaičius","asmenys","1473"
"2002M05","Mėnesinis emigrantų skaičius","asmenys","1289"
"2002M04","Mėnesinis emigrantų skaičius","asmenys","1159"
"2002M03","Mėnesinis emigrantų skaičius","asmenys","1877"
"2002M02","Mėnesinis emigrantų skaičius","asmenys","868"
"2002M01","Mėnesinis emigrantų skaičius","asmenys","908"
"2001M12","Mėnesinis emigrantų skaičius","asmenys","2255"
"2001M11","Mėnesinis emigrantų skaičius","asmenys","2172"
"2001M10","Mėnesinis emigrantų skaičius","asmenys","2394"
"2001M09","Mėnesinis emigrantų skaičius","asmenys","2227"
"2001M08","Mėnesinis emigrantų skaičius","asmenys","2840"
"2001M07","Mėnesinis emigrantų skaičius","asmenys","2729"
"2001M06","Mėnesinis emigrantų skaičius","asmenys","2172"
"2001M05","Mėnesinis emigrantų skaičius","asmenys","2199"
"2001M04","Mėnesinis emigrantų skaičius","asmenys","2255"
"2001M03","Mėnesinis emigrantų skaičius","asmenys","2227"
"2001M02","Mėnesinis emigrantų skaičius","asmenys","2199"
"2001M01","Mėnesinis emigrantų skaičius","asmenys","2172"
